top.genre,nrgy,dnce,live,acous
'dance pop',65,76,31,3
pop,54,72,10,45
'dance pop',49,44,11,13
pop,75,56,21,46
'dance pop',62,70,16,8
'dance pop',93,72,8,17
'dance pop',64,69,15,2
'dance pop',92,71,27,0
'dance pop',62,76,9,1
electropop,92,79,8,1
'dance pop',44,41,31,3
'dance pop',67,72,11,9
'dance pop',92,62,12,1
complextro,74,60,9,11
'dance pop',66,50,27,3
'neo mellow',71,47,16,8
'colombian pop',81,69,14,12
'dance pop',77,35,12,6
'neo mellow',15,45,9,87
'permanent wave',68,55,21,1
'dance pop',80,93,10,27
'australian dance',78,29,7,2
'dance pop',79,47,31,17
'dance pop',94,60,10,0
'neo mellow',14,41,9,97
'dance pop',62,59,18,1
'dance pop',60,96,21,7
'candy pop',81,68,34,7
'colombian pop',82,80,35,18
'neo mellow',34,68,9,84
'neo mellow',35,53,14,28
'dance pop',58,63,38,28
'dance pop',50,78,11,15
hollywood,82,56,19,2
'hip pop',54,64,25,10
'dance pop',73,74,12,45
'dance pop',73,59,38,27
pop,45,78,18,47
pop,49,68,8,53
'canadian contemporary r&b',56,58,14,7
'canadian pop',38,61,28,84
'dance pop',61,86,3,1
'irish singer-songwriter',66,57,12,63
pop,79,75,9,6
'canadian pop',76,65,30,8
'barbadian pop',27,58,13,88
'dance pop',61,26,13,25
'canadian contemporary r&b',38,66,10,39
'canadian pop',57,85,8,59
'canadian pop',75,75,5,2
'dance pop',68,78,11,1
'dance pop',70,69,13,2
'tropical house',51,83,8,1
'boy band',52,67,12,86
'dance pop',87,74,39,4
'dance pop',73,58,27,0
'dance pop',71,47,8,1
pop,74,28,59,0
'dance pop',86,41,34,3
'dance pop',77,88,12,6
'dance pop',70,69,20,1
pop,61,81,64,1
'australian dance',79,42,15,1
'dance pop',59,80,19,16
'british soul',45,48,9,34
'dance pop',78,66,32,38
'dance pop',71,75,13,1
'dance pop',79,62,14,5
'dance pop',73,60,33,24
'dance pop',80,63,14,21
'canadian pop',80,59,8,13
pop,67,82,6,30
'dance pop',71,68,44,1
'dance pop',73,71,19,12
'dance pop',61,83,29,9
'british soul',89,57,33,10
'dance pop',80,49,6,1
'dance pop',85,69,10,2
'dance pop',70,63,10,56
'tropical house',85,32,48,1
'dance pop',59,67,21,2
complextro,85,58,14,1
'dance pop',83,78,11,5
'canadian pop',61,36,18,5
'canadian contemporary r&b',82,38,8,8
'dance pop',85,59,27,7
'dance pop',94,69,5,9
'dance pop',94,68,12,18
'canadian pop',81,53,10,8
'canadian pop',81,62,22,1
'dance pop',87,81,5,1
pop,79,75,9,6
'dance pop',88,67,44,27
'dance pop',88,81,11,5
'dance pop',71,70,9,26
'dance pop',67,79,28,21
'big room',67,63,10,5
'dance pop',95,71,26,0
'canadian pop',36,77,10,79
'canadian pop',26,38,17,88
'dance pop',75,67,19,14
'barbadian pop',75,39,33,5
'australian pop',75,71,38,27
'belgian edm',70,71,7,2
'australian dance',76,51,11,25
'dance pop',82,64,16,2
'canadian pop',78,74,32,2
'french indie pop',89,76,62,2
'hip hop',48,69,6,37
'big room',75,52,24,4
'dance pop',60,47,9,33
'boy band',82,65,12,6
'dance pop',55,54,12,4
'dance pop',87,60,10,5
pop,59,48,6,20
'dance pop',79,67,25,4
'dance pop',55,69,10,1
'dance pop',82,57,16,6
'boy band',76,47,14,0
'dance pop',85,68,6,1
'hip pop',67,64,8,43
'art pop',43,26,11,75
'dance pop',78,57,33,2
'dance pop',80,72,69,9
'dance pop',88,85,10,4
'dance pop',78,80,4,1
'dance pop',84,62,8,2
'dance pop',80,88,20,8
'dance pop',37,28,11,45
'dance pop',90,72,6,1
'dance pop',53,90,8,0
'dance pop',39,48,26,2
'canadian contemporary r&b',56,58,14,7
'canadian pop',38,61,28,84
'dance pop',75,77,4,15
electropop,87,53,14,16
'big room',52,50,45,11
'dance pop',73,62,14,2
'dance pop',93,63,15,20
'dance pop',42,67,11,49
'barbadian pop',31,67,8,11
'danish pop',47,77,39,29
'dance pop',83,67,19,1
'dance pop',59,80,6,10
'canadian contemporary r&b',74,57,11,3
'dance pop',53,63,18,40
'barbadian pop',53,73,9,8
'canadian pop',75,75,5,2
'hip hop',67,76,16,2
'dance pop',71,66,8,4
'dance pop',60,66,36,5
'dance pop',62,73,11,38
'dance pop',75,77,11,2
electropop,80,61,26,1
'dance pop',75,59,9,0
'canadian hip hop',65,79,10,5
electropop,80,71,31,4
'dance pop',80,61,16,7
'dance pop',69,93,48,10
'dance pop',88,75,23,4
'dance pop',68,76,7,5
'dance pop',62,65,14,25
'dance pop',79,55,47,12
electropop,59,66,12,10
'dance pop',67,70,8,1
'canadian pop',80,59,8,13
'dance pop',50,81,34,1
'british soul',28,59,15,88
'dance pop',70,63,11,1
'dance pop',80,56,74,1
'dance pop',88,76,10,1
'dance pop',69,67,8,31
'tropical house',85,32,48,1
'canadian contemporary r&b',82,38,8,8
'dance pop',86,61,36,0
'dance pop',70,59,9,10
pop,84,55,34,0
'dance pop',64,55,11,5
'dance pop',69,55,27,9
'dance pop',74,63,28,0
'canadian pop',34,47,10,60
'dance pop',83,56,26,2
'australian dance',80,59,8,6
'dance pop',89,61,9,5
'canadian pop',72,56,5,1
'dance pop',88,60,16,2
'british soul',52,69,17,4
'dance pop',82,93,6,2
'dance pop',78,71,30,30
'british soul',59,38,9,35
'canadian pop',77,68,16,11
'art pop',57,37,13,72
'dance pop',64,58,15,2
'dance pop',54,62,13,68
'dance pop',70,70,22,16
'neo mellow',78,60,19,16
complextro,79,57,10,40
'dance pop',71,74,13,4
'dance pop',78,73,9,0
'dance pop',95,63,10,0
'neo mellow',4,52,9,99
'dance pop',75,83,20,22
'canadian pop',87,65,37,1
'dance pop',65,37,9,3
'dance pop',69,75,13,26
